Primary ID,Number,Metabolite,Super Class,Class,Sub_Class,VIP 1,VIP 2
LivPos_C1024,888,N-hexanoyldihydroceramide,Lipids and lipid-like molecules,Sphingolipids,Ceramides,2.45617,0.887963
LivNeg_C177,1013,PG(34:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,2.4503,0.923554
LivNeg_C709,465,PG(36:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,2.44235,0.577273
LivNeg_C660,268,LysoPE(18:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,2.4418,0.529123
LivPos_C1220,333,Behenoylglycine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2.43664,0.667417
LivPos_C0592,515,PC(36:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,2.43475,0.3953
LivGC_C031,48,Myo-Inositol,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,2.4248,0.753155
LivPos_C0853,279,PE(25:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,2.42148,1.12741
LivPos_C0261,1030,PE(42:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,2.40789,0.705273
LivPos_C0860,284,N-2-hydroxystearoylsphingosine,Organic nitrogen compounds,Organonitrogen compounds,Amines,2.37757,0.722537
LivPos_C0469,1192,PE(27:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,2.37317,0.969273
LivPos_C0675,52,PC(38:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,2.354,0.679806
LivNeg_C739,1115,PS(37:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.34322,0.553241
LivPos_C0687,180,PS(38:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.34076,1.08373
LivPos_C0969,1064,PS(40:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.32743,0.573928
LivPos_C1845,1015,LysoPE(16:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,2.30571,0.898412
LivNeg_C748,395,Helilupolone,Benzenoids,Benzene and substituted derivatives,Flavonoid,2.26781,0.836682
LivPos_C1167,499,Erythrosine,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,2.26092,1.00244
LivPos_C0808,536,PE(40:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,2.24625,0.703839
LivPos_C1219,301,Heptadecanoyl carnitine,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,2.23895,0.886158
LivPos_C1143,533,PE(40:3),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,2.22957,0.850866
LivNeg_C450,458,Cholesterol sulfate,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,2.22422,1.48645
LivNeg_C159,449,PS(40:5),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.21084,1.04806
LivNeg_C052,154,PC(40:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,2.18491,1.05994
LivPos_C0809,997,PS(38:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.17217,0.75159
LivNeg_C363,788,PS(43:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.16437,1.10322
LivPos_C0381,65,PC(18:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,2.16355,0.403407
LivPos_C0458,8,PE(42:4)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,2.14302,1.01746
LivNeg_C132,320,PS(38:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.13212,1.27804
LivPos_C0220,594,PS(38:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.13085,1.24235
LivPos_C0366,1260,PE-Cer(40:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,2.1276,1.063
LivPos_C1134,600,PS(37:1)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.08615,1.0183
LivNeg_C518,263,Arachidonic acid_1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,2.0841,1.17663
LivPos_C1580,1215,PC(38:9),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,2.06492,0.818156
LivPos_C0951,637,PG(37:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,2.03603,1.02831
LivNeg_C482,401,Ins-1-P-Cer(36:0),Lipids and lipid-like molecules,Sphingolipids,Ceramides,2.03442,0.790677
LivNeg_C221,645,PG(36:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,2.02926,0.762153
LivNeg_C465,1159,Vinblastine,Alkaloids and derivatives,Vinca alkaloids,NA,2.02064,1.29843
LivNeg_C737,1145,PC(42:7),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,2.01825,1.06634
LivNeg_C247,1210,PS(35:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,2.00442,1.16254
LivPos_C0330,906,GalCer(40:1),Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,2.00435,1.12173
LivPos_C0121,193,carnitine,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,2.00287,1.46705
LivNeg_C129,141,PC(38:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,2.00005,1.3205
LivGC_C081,125,Uric acid _1,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,1.99847,1.16794
LivNeg_C806,351,"9,10-dihydroxyoctadecanoate",Lipids and lipid-like molecules,Fatty Acyls,atty acids and conjugates,1.98044,1.57294
LivPos_C0287,321,PI(40:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,1.97951,0.984051
LivNeg_C025,704,PC(38:6)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,1.95879,1.3602
LivPos_C1189,641,CL(78:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols,1.95262,0.592574
LivPos_C0224,954,Glucosylceramide (34:1)_1,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,1.94291,1.10493
LivPos_C0600,1264,Retinal__3,Lipids and lipid-like molecules,Prenol lipids,Retinoids,1.93092,0.927552
LivPos_C0242,241,Hexadecanedioic acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1.9296,1.05469
LivPos_C0066,217,Ubiquinol_3,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,1.92548,1.23108
LivNeg_C303,1217,PC(38:5)_1,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,1.9224,1.37922
LivPos_C1043,666,"p-Mentha-1,3,8-triene",Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,1.91665,1.00156
